state,x,y
Alabama,143,-80
Alaska,-204,-180
Arizona,-203,-44
Arkansas,60,-54
California,-297,13
Colorado,-112,20
Connecticut,310,88
Delaware,292,40
Florida,225,-152
Georgia,188,-80
Hawaii,-317,-143
Idaho,-216,122
Illinois,95,37
Indiana,136,39
Iowa,38,65
Kansas,-17,5
Kentucky,149,1
Louisiana,59,-114
Maine,325,164
Maryland,288,27
Massachusetts,316,108
Michigan,148,101
Minnesota,30,135
Mississippi,94,-78
Missouri,49,6
Montana,-141,150
Nebraska,-55,62
Nevada,-257,56
New Hampshire,325,125
New Jersey,298,63
New Mexico,-128,-43
New York,250,100
North Carolina,239,-22
North Dakota,-44,158
Ohio,176,52
Oklahoma,-8,-41
Oregon,-278,138
Pennsylvania,238,68
Rhode Island,335,96
South Carolina,218,-51
South Dakota,-44,109
Tennessee,131,-34
Texas,-38,-106
Utah,-189,34
Vermont,295,140
Virginia,242,10
Washington,-257,188
West Virginia,219,24
Wisconsin,83,113
Wyoming,-134,90
