순위 (ranking),단어 (word),품사 (Part of speech),풀이 (Explanation),등급 (Rating),suffix number,단어 (word) (cleaned),english translation
1,것01,의,,A,01,것,thing
2,하다01,동,,A,01,하다,do
3,있다01,보,,A,01,있다,there is
4,있다01,형,,A,01,있다,there is
5,되다01,동,어른이 ~,A,01,되다,become
6,수02,의,방법,A,02,수,number
7,하다01,보,,A,01,하다,do
8,나03,대,,A,03,나,me
9,그01,관,,A,01,그,that
10,없다01,형,,A,01,없다,does not exist
11,않다,보,,A,않다,않다,not
12,사람,명,,A,사람,사람,person
13,우리03,대,,A,03,우리,we
14,이05,관,,A,05,이,this
15,그01,대,,A,01,그,that
16,아니다,형,,A,니다,아니다,no
17,보다01,동,,A,01,보다,see
18,등05,의,等,B,05,등,etc.
19,때01,명,시간,A,01,때,at the time
20,거01,의,것,A,01,거,thing
21,보다01,보,,A,01,보다,see
22,같다,형,,A,같다,같다,same
23,주다01,보,,A,01,주다,give
24,대하다02,동,對-,B,02,대하다,treat
25,가다01,동,,A,01,가다,go
26,년02,의,年,A,02,년,year
27,한01,관,,A,01,한,one
28,말01,명,~과 글,A,01,말,word
29,일01,명,,A,01,일,Day
30,이05,대,,A,05,이,this
31,때문,의,,A,때문,때문,because
32,말하다,동,,A,하다,말하다,say
33,위하다01,동,爲-,B,01,위하다,for
34,그러나,부,,A,러나,그러나,however
35,오다01,동,,A,01,오다,come
36,알다,동,,A,알다,알다,know
37,씨07,의,氏,A,07,씨,Seed
38,그렇다,형,,A,렇다,그렇다,Yes
39,크다01,형,,A,01,크다,big
40,또,부,,A,또,또,also
41,일07,의,하루,A,07,일,Day
42,사회07,명,社會,B,07,사회,society
43,많다,형,,A,많다,많다,many
44,안02,부,아니,A,02,안,not
45,좋다01,형,,A,01,좋다,good night
46,더01,부,,A,01,더,more
47,받다01,동,선물을 ~,A,01,받다,receive
48,그것,대,,A,그것,그것,that
49,집01,명,,A,01,집,house
50,나오다,동,,A,오다,나오다,come out
51,따르다01,동,뒤를 ~,B,01,따르다,follow
